"country","year","gdp_real_lg1","debt_to_gdp_bus_d3","debt_to_gdp_hh_d3","debt_to_gdp_private_d3","debt_private_real_lg3","housing_real_lg3","equities_real_lg3","bvx_bank_eq_decline","bvx_bank_failures","crisis_ind_bvx_equity","crisis_ind_bvx_panic","crisis_ind_bvx","crisis_ind_rr","crisis_ind_st","developed"
"Argentina",1996,,,,,,,,,,,,,,,0
"Argentina",1997,,4.900756,,1.94456153333334,27.8490675800711,,35.4595618845505,,,,,,,,0
"Argentina",1998,3.77790865430647,5.978281,,2.71112983333333,36.2291919699021,,5.97799718392324,0,0,0,0,0,0,,0
"Argentina",1999,-3.44409078672507,4.796585,,2.33122556666667,24.1543959317914,,14.6983370492719,0,0,0,0,0,0,,0
"Argentina",2000,-0.792128005420523,-1.872572,,-0.0879504000000016,-1.48520859449222,,-32.4330164226341,1,1,1,1,1,0,,0
"Argentina",2001,-4.50898355049274,-5.951975,,-1.99096116666666,-22.5025107180526,,-22.4857705548366,0,0,0,0,0,1,,0
"Argentina",2002,-11.5348954757951,17.635793,,4.86445476666667,8.19401021482794,,-13.7244487569163,0,0,0,0,0,0,,0
"Argentina",2003,8.46815389848397,4.307465,,0.0976035333333319,-7.78506839493914,,71.9530715903331,0,0,0,0,0,0,,0
"Argentina",2004,8.64489741270313,-0.258012000000001,,-1.22736113333333,-4.1905856171444,,100.902051504743,0,0,0,0,0,0,,0
"Argentina",2005,8.48158511869794,-29.143094,,-9.8155539,-43.3691564168324,,78.3453472141085,0,0,0,0,0,0,,0
"Argentina",2006,7.73975338262787,-15.090753,,-4.6175206,-17.0840045617319,,49.0045979020324,0,0,0,0,0,0,,0
"Argentina",2007,8.62478852919413,-10.69606,,-2.8976472,-1.123975201433,,47.2831261476191,0,0,0,0,0,0,,0
"Argentina",2008,3.97708800862349,-6.948574,,-1.74260903333333,20.4573826890451,,-34.6533230061197,1,0,0,0,0,0,,0
"Argentina",2009,-6.10090246259416,-4.719914,,-1.21074103333333,16.6886403971283,,-1.57568833019916,0,0,0,0,0,0,,0
"Argentina",2010,9.64495137541137,-3.711015,,-1.18225006666667,20.0814870047358,,19.8246290656061,0,0,0,0,0,0,,0
"Argentina",2011,5.83061875498982,-2.342576,,-0.616998266666667,28.5283431142922,,58.5355644389032,1,0,0,0,0,,,0
"Argentina",2012,-1.03172447476032,-1.587777,,-0.198012766666667,43.0194490362958,,-2.8631960319132,0,0,0,0,0,,,0
"Argentina",2013,2.37685153127005,0.109617,,0.489497133333333,48.77730791491,,5.26394213641845,0,0,0,0,0,,,0
"Argentina",2014,-2.54472042614111,-1.563702,,-0.3973723,26.064774899115,,63.9149398011009,0,0,0,0,0,,,0
"Argentina",2015,2.69452912404917,-0.957034,,-0.161823766666667,30.4891845766401,,58.9212501076841,0,0,0,0,0,,,0
"Argentina",2016,-1.83935506480788,,,,,,,0,0,0,0,0,,,0
"Australia",1950,,,,,,,,,,,,,,,1
"Australia",1951,,,,,,,,,,,,,,,1
"Australia",1952,,,,,,,,,,,,,,,1
"Australia",1953,,,,,,,,,,,,,,,1
"Australia",1954,,,,,,,,,,,,,,,1
"Australia",1955,,1.47446961235457,0.760436174544243,0.744964358600323,33.4124983098077,-2.57253375042996,18.176589278986,,,,,,,,1
"Australia",1956,1.85416260130102,1.35802863449082,0.254737259384306,0.53758666337828,21.8460256338305,7.04377580603592,8.73708157088174,0,0,0,0,0,0,0,1
"Australia",1957,6.01522417811644,-1.13315881725666,-0.0557853230875089,-0.396327537088913,5.63057830919364,12.6100841391354,5.99634856117448,0,0,0,0,0,0,0,1
"Australia",1958,0.992580454862946,-2.16760804128901,0.303947884098957,-0.621221947440678,0.240330391342392,13.4743373790954,16.6518245753059,0,0,0,0,0,0,0,1
"Australia",1959,5.32001627101275,-2.19783278313989,0.652976752933729,-0.51493781618386,3.63521497837173,10.2709340646451,50.2583452365549,0,0,0,0,0,0,0,1
"Australia",1960,6.28260289065059,-0.453487077149802,0.559987454002604,0.0355159146983333,12.0746661022006,11.9281868269675,25.402789451022,0,0,0,0,0,0,0,1
"Australia",1961,2.45521640676349,-1.5841889490758,0.198821294935131,-0.461780647915152,8.08244470362473,-1.94043086250329,21.8950380932922,0,0,0,0,0,0,0,1
"Australia",1962,1.28814535851429,-0.235104413348026,0.484161507640218,0.0830157846825183,14.2770756164495,8.10457075646647,-8.71082430847379,0,0,0,0,0,0,0,1
"Australia",1963,6.0288362126431,-0.554172933446317,0.963883449367842,0.136564144609608,15.6803949059426,9.77091122737699,26.5813587916122,0,0,0,0,0,0,0,1
"Australia",1964,6.74597849561938,-0.770524033046785,1.57546190470547,0.268308823700018,18.7191916856477,23.8944498369301,15.4755454306031,0,0,0,0,0,0,0,1
"Australia",1965,5.81127641589232,-0.147225344273204,1.45891839497835,0.437225381511466,25.4154790193518,13.1792718534509,-0.701597812610241,0,0,0,0,0,0,0,1
"Australia",1966,2.35455274942744,0.337030607636516,1.62858863878144,0.655206415472653,24.8092217898334,2.70837994033279,-18.1133821076008,0,0,0,0,0,0,0,1
"Australia",1967,6.11175423052543,0.949411142035864,1.18596018311509,0.711790441716983,26.8694780881838,1.44657757334038,10.274880271372,0,0,0,0,0,0,0,1
"Australia",1968,4.97027767649429,1.13565811509807,1.11025593488904,0.748638016662369,26.6290399292662,5.42848713113911,54.4892676760612,0,0,0,0,0,0,0,1
"Australia",1969,6.80712613792531,0.510421389089466,0.439779676230394,0.316733688439953,25.5353635951893,10.0107783562395,58.7192051878733,0,0,0,0,0,0,0,1
"Australia",1970,6.92665373675005,0.0660100544616675,0.0403965616223685,0.0354688720280111,20.5876200972602,15.5939815415794,3.99480816056411,0,0,0,0,0,0,0,1
"Australia",1971,3.92585037793447,-0.746191238435149,-0.261764015357517,-0.335985084597554,12.2571231141977,17.5877919624627,-32.4955095924496,0,0,0,0,0,0,0,1
"Australia",1972,3.83808504968224,-0.641348096040495,0.0740650765943736,-0.189094339815374,11.4413850042365,16.3214844614429,-24.2860715100104,0,0,0,0,0,0,0,1
"Australia",1973,2.58024302128055,1.52045047336791,1.18907463780901,0.903175037058973,19.8086480028776,23.6372553648106,-38.9997264788368,0,0,0,0,0,0,0,1
"Australia",1974,4.0206663570193,2.88786283572257,1.19878555372573,1.3622161298161,27.3817213685758,16.3280878952919,-84.6409869238668,1,0,0,0,0,0,0,1
"Australia",1975,1.3413022566124,1.96543929080379,1.54883227097514,1.17143792000876,22.8370573486812,7.37576753709243,-71.6651755118063,0,0,0,0,0,0,0,1
"Australia",1976,2.55502560444354,-0.313656318014985,1.21317382330528,0.299831150791292,13.2714076742045,-8.05498533670751,-44.1791096869536,0,0,0,0,0,0,0,1
"Australia",1977,3.53418273475619,-2.00891310932984,1.6550846354175,-0.117942824637448,9.42208932429444,-7.68315674464951,11.6309129728198,0,0,0,0,0,0,0,1
"Australia",1978,0.89277327955104,-1.12183633987825,1.81172541708606,0.229948959653483,12.0905400218535,-9.49559915242543,-9.49773313923094,0,0,0,0,0,0,0,1
"Australia",1979,3.96390306471073,-0.250279299836301,1.50893512551838,0.419559959532833,14.6834723879302,0.210803767129078,27.9564600126054,0,0,0,0,0,0,0,1
"Australia",1980,2.9890849240334,3.51300000000001,3.782038,2.43167933333334,19.5546123951419,6.933340684767,53.5804077808023,0,0,0,0,0,0,0,1
"Australia",1981,3.28336116859873,4.82624999999999,2.108707,2.31165233333333,19.1072286044092,12.0438259668441,19.6230071109104,0,0,0,0,0,0,0,1
"Australia",1982,3.27393636590214,7.848197,1.409499,3.08589866666667,19.1747250737731,-4.44039042315091,-32.9293068628188,0,0,0,0,0,0,0,1
"Australia",1983,-2.24515990808909,8.90121,1.22801399999999,3.376408,16.0131399696426,-7.60783400135548,-21.1027672978472,0,0,0,0,0,0,0,1
"Australia",1984,4.47930413160229,6.877375,1.326402,2.73459233333333,19.734385479092,-2.24504315620667,-1.55424224488176,0,0,0,0,0,0,0,1
"Australia",1985,5.11607469937232,7.138784,4.0063,3.715028,24.1592714185565,10.3928560795088,53.97789522988,0,0,0,0,0,0,0,1
"Australia",1986,3.97507159487436,14.934081,4.115019,6.3497,31.0088480144857,2.80279924284403,44.5987704467914,0,0,0,0,0,0,0,1
"Australia",1987,2.47445540945934,21.655737,2.350833,8.00219,30.6220418340296,-2.60684324614189,35.5665620530271,0,0,0,0,0,0,0,1
"Australia",1988,5.52554429379972,23.17678,-0.303570000000001,7.62440333333333,31.1499406011295,16.8293395764903,15.8684591258719,0,0,0,0,0,0,0,1
"Australia",1989,3.79467921083236,12.030881,1.274787,4.43522266666667,26.4315726389978,25.2863343619437,-10.4454855891639,0,1,0,1,1,1,1,1
"Australia",1990,3.50249139160894,6.433587,2.879709,3.104432,17.6015309042522,18.0939625325108,-24.4745462512655,0,0,0,0,0,0,0,1
"Australia",1991,-0.388299392936098,-2.016183,4.71553,0.899782333333334,5.17510685784653,-0.483244978654839,-5.22086435736184,0,0,0,0,0,0,0,1
"Australia",1992,0.441639167228125,-4.00465699999999,2.307212,-0.565814999999996,0.633796403457456,-2.65135663318722,-14.7534853571193,0,0,0,0,0,0,0,1
"Australia",1993,3.95964009782093,-11.827751,3.008003,-2.939916,-2.08558712078283,3.71159133512573,49.3055714617151,0,0,0,0,0,0,0,1
"Australia",1994,3.90142877208177,-12.561748,4.474604,-2.69571466666667,3.07467187251206,1.91912439811188,9.9613831050859,0,0,0,0,0,0,0,1
"Australia",1995,3.75786806898475,-11.296111,7.236017,-1.35336466666666,3.75577827275762,-3.11259405607501,25.798481913437,0,0,0,0,0,0,0,1
"Australia",1996,3.80530246644994,-5.322463,8.466398,1.04797833333333,11.2952252876205,-3.77643517182989,1.87363485649514,0,0,0,0,0,0,0,1
"Australia",1997,3.88977811094762,0.0705840000000038,8.504326,2.85830333333334,18.3596850798621,1.61905370846624,25.1573787911562,0,0,0,0,0,0,0,1
"Australia",1998,4.47509638994772,2.879853,9.424715,4.10152266666666,24.625177201424,11.0781051330209,21.7666160057145,0,0,0,0,0,0,0,1
"Australia",1999,4.89621869221679,3.744657,11.651525,5.13206066666667,25.7509923474031,18.1239890923214,23.1667073900018,0,0,0,0,0,0,0,1
"Australia",2000,3.86743050755252,7.692927,11.136553,6.27649333333333,23.5570508464126,12.7158209709782,9.69305712656142,0,0,0,0,0,0,0,1
"Australia",2001,1.91465859600095,3.528681,11.661153,5.06327800000001,19.3074528780546,19.2958074753714,7.12724209998295,0,0,0,0,0,0,0,1
"Australia",2002,3.92497731512638,2.767182,13.077358,5.28151333333334,20.1522833076516,26.4000177269422,-17.3796393169718,0,0,0,0,0,0,0,1
"Australia",2003,2.94203936793922,-5.302597,18.6522,4.44986766666667,19.6423581316208,40.5345755001858,-3.7083059814594,0,0,0,0,0,0,0,1
"Australia",2004,3.9231343098157,-1.918399,20.585535,6.22237866666666,24.8566423470613,26.9945393360427,10.9775117998363,0,0,0,0,0,0,0,1
"Australia",2005,3.14048287459991,4.981945,19.330008,8.10398433333332,28.501394464765,12.2527729818992,38.215538362177,0,0,0,0,0,0,0,1
"Australia",2006,2.79481126918952,11.853855,15.366974,9.07360966666667,30.3176238591083,2.30085071717758,44.9364357628679,0,0,0,0,0,0,0,1
"Australia",2007,3.70773507691844,16.729312,12.212459,9.64725700000001,31.500483633028,14.1203811966154,37.0935509486029,0,0,0,0,0,0,0,1
"Australia",2008,3.59245826452064,13.565646,5.08882000000001,6.21815533333334,25.5305927964718,6.85515976693917,-34.9855154892251,1,0,0,0,0,0,0,1
"Australia",2009,1.9044764630836,2.080018,5.60991,2.56330933333334,15.304810557358,13.2335063170313,-23.0129179455277,0,0,0,0,0,0,0,1
"Australia",2010,2.03215318963421,-10.416739,1.78511,-2.87720966666667,5.47408631001183,5.23204179497394,-36.5154727899795,0,0,0,0,0,0,0,1
"Australia",2011,2.42154751948558,-15.158336,1.80985,-4.44949533333333,2.21254556779634,5.85560203490494,3.93532309552076,0,0,0,0,0,,0,1
"Australia",2012,3.81811347719427,-6.535687,-2.58007000000001,-3.03858566666668,5.37917346924768,-4.6753612739351,-12.4187883482114,0,0,0,0,0,,0,1
"Australia",2013,2.60524910199047,4.10358699999999,0.903030000000001,1.66887233333333,9.04105731484991,0.491450765981669,2.09622540278515,0,0,0,0,0,,0,1
"Australia",2014,2.52615972524692,8.262862,6.90082,5.05456066666666,11.278125807281,12.4070635413749,20.4703974592754,0,0,0,0,0,,0,1
"Australia",2015,2.32392295333241,11.564728,11.93267,7.83246600000001,14.2815953420771,18.2428628907125,7.52293439456504,0,0,0,0,0,,0,1
"Australia",2016,2.78807981989475,,,,,,,0,0,0,0,0,,0,1
"Austria",1950,,,,,,,,,,,,,,,1
"Austria",1951,,,,,,,,,,,,,,,1
"Austria",1952,,,,,,,,,,,,,,,1
"Austria",1953,,,,,,,,,,,,,,,1
"Austria",1954,,,,,,,,,,,,,,,1
"Austria",1955,,,,,,,,,,,,,,,1
"Austria",1956,,,,,,,,,,,,,,,1
"Austria",1957,,,,,,,,,,,,,,,1
"Austria",1958,,,,,,,,,,,,,,,1
"Austria",1959,,,,,,,,,,,,,,,1
"Austria",1960,,,,,,,,,,,,,,,1
"Austria",1961,,,,,,,,,,,,,,,1
"Austria",1962,,,,,,,,,,,,,,,1
"Austria",1963,,,,,,,,,,,,,,,1
"Austria",1964,,,,,,,,,,,,,,,1
"Austria",1965,,,,,,,,,,,,,,,1
"Austria",1966,,,,,,,,,,,,,,,1
"Austria",1967,,,,,,,,,,,,,,,1
"Austria",1968,,,,,,,,,,,,,,,1
"Austria",1969,,,,,,,,,,,,,,,1
"Austria",1970,,,,,,,,,,,,,,,1
"Austria",1971,,,,,,,,,,,,,,,1
"Austria",1972,,,,,,,,,,,,,,,1
"Austria",1973,,,,,,,,,,,,,,,1
"Austria",1974,,,,,,,,,,,,,,,1
"Austria",1975,,,,,,,,,,,,,,,1
"Austria",1976,,,,,,,,,,,,,,,1
"Austria",1977,,,,,,,,,,,,,,,1
"Austria",1978,,,,,,,,,,,,,,,1
"Austria",1979,,,,,,,,,,,,,,,1
"Austria",1980,,,,,,,,,,,,,,,1
"Austria",1981,,,,,,,,,,,,,,,1
"Austria",1982,,,,,,,,,,,,,,,1
"Austria",1983,,,,,,,,,,,,,,,1
"Austria",1984,,,,,,,,,,,,,,,1
"Austria",1985,,,,,,,,,,,,,,,1
"Austria",1986,,,,,,,,,,,,,,,1
"Austria",1987,,,,,,,,,,,,,,,1
"Austria",1988,,,,,,,,,,,,,,,1
"Austria",1989,,,,,,,,,,,,,,,1
"Austria",1990,,,,,,,,,,,,,,,1
"Austria",1991,,,,,,,,,,,,,,,1
"Austria",1992,,,,,,,,,,,,,,,1
"Austria",1993,,,,,,,,,,,,,,,1
"Austria",1994,,,,,,,,,,,,,,,1
"Austria",1995,,,,,,,,,,,,,,,1
"Austria",1996,,,,,,,,,,,,,,,1
"Austria",1997,,,,,,,,,,,,,,,1
"Austria",1998,,6.793423,,2.59037,13.2960732765864,,13.7612872692385,,,,,,,,1
"Austria",1999,3.49455321975496,10.062509,,4.036706,18.2065583054039,,10.5203163811237,0,0,0,0,0,0,,1
"Austria",2000,3.31999513531409,11.692808,,4.70632,19.4867246736925,,-10.9824170162284,0,0,0,0,0,0,,1
"Austria",2001,1.25920904999068,11.864442,,5.05428333333333,18.1953159779013,,-5.77537785414693,0,0,0,0,0,0,,1
"Austria",2002,1.63805965410653,6.383149,,2.80387833333333,11.028750497745,,-9.24700748215665,0,0,0,0,0,0,,1
"Austria",2003,0.937069073586638,1.740258,1.424347,1.05486833333333,5.63033951498611,-0.714366064240091,26.1214196211185,0,0,0,0,0,0,,1
"Austria",2004,2.69838249618086,-2.567042,3.100831,0.177929666666671,3.9281134596132,-1.26401505536441,63.2461706335531,0,0,0,0,0,0,,1
"Austria",2005,2.2192580965025,-0.678337999999997,5.286694,1.53611866666667,9.3998915136014,0.41621089656767,96.2017421465051,0,0,0,0,0,0,,1
"Austria",2006,3.39572801017658,-0.426841999999994,5.520272,1.69781,12.4892797136765,0.325344609719916,93.1394024904374,0,0,0,0,0,0,,1
"Austria",2007,3.65962643707505,7.56427100000001,2.767799,3.44402333333333,17.0655730565979,3.87399356581432,51.3155624334736,0,0,0,0,0,0,,1
"Austria",2008,1.44986368885807,8.43845,0.257190000000001,2.89854666666667,14.451386960947,2.75968790555955,-78.3851297892679,1,1,1,1,1,1,,1
"Austria",2009,-3.83727098337943,7.892685,1.038806,2.97716366666666,7.73361154775539,3.40603379713141,-65.2188187112171,0,0,0,0,0,0,,1
"Austria",2010,1.82042387056773,4.23681999999999,2.916709,2.38450966666666,4.46363816027389,7.55407304580826,-44.9995397386694,0,0,0,0,0,0,,1
"Austria",2011,2.88089836868295,1.73952,1.030022,0.923180666666667,0.916359497059519,8.10482135153873,10.6176491217241,1,1,1,0,1,,,1
"Austria",2012,0.678139799841215,-0.0797469999999976,-1.476802,-0.518849666666663,0.868443007379017,14.6346582108923,-7.9562753893403,0,0,0,0,0,,,1
"Austria",2013,0.0255008488728947,2.463324,-3.392801,-0.309825666666664,0.697448001267031,12.0885833421935,-20.9324491855458,0,0,0,0,0,,,1
"Austria",2014,0.82531873152627,-0.470281,-2.75397599999999,-1.07475233333333,-0.704007906409515,11.5962028147198,0.943858586799956,0,0,0,0,0,,,1
"Austria",2015,1.08593653942819,-0.334268000000009,-1.577715,-0.637327666666674,2.59120260485862,10.0212592456102,-3.17190224071027,0,0,0,0,0,,,1
"Austria",2016,1.44049037838272,,,,,,,0,0,0,0,0,,,1
"Belgium",1950,,,,,,,,,,,,,,,1
"Belgium",1951,,,,,,,,,,,,,,,1
"Belgium",1952,,,,,,,,,,,,,,,1
"Belgium",1953,,-0.331655711935081,2.04561729017932,0.57132052608141,14.6039148387137,0.979462556698591,20.9910217050261,,,,,,,,1
"Belgium",1954,2.7564362745192,-1.11653932962971,4.01390481006406,0.965788501334192,14.6538156355908,14.6952711969964,26.2317603017676,0,0,0,0,0,0,0,1
"Belgium",1955,6.61655287981073,-1.87888844991307,3.23407137335331,0.451728224904971,13.7281845077159,10.4625150632786,50.6482600754392,0,0,0,0,0,0,0,1
"Belgium",1956,3.33937849670978,-0.430770117035156,2.34034318181306,0.636524897044401,16.7698568407297,8.65976332957922,41.0472518146749,0,0,0,0,0,0,0,1
"Belgium",1957,2.77567429544039,-2.88669127377365,1.36845154494218,-0.506080435125957,6.45282507223101,8.76317459457814,6.41522964721405,0,0,0,0,0,0,0,1
"Belgium",1958,-0.489978072371855,-1.55988312735968,1.9522460764396,0.13078757295537,7.75189907941714,6.85724170428729,-6.2452321858855,0,0,0,0,0,0,0,1
"Belgium",1959,2.29062173420829,0.525809507636673,2.16837861660277,0.898061676411392,13.1206406444404,3.63919980268548,5.26703815465531,0,0,0,0,0,0,0,1
"Belgium",1960,5.70873305302797,4.22362631355548,2.58122737111146,2.26828554020795,28.520273007676,4.3400745950909,3.92140284647969,0,0,0,0,0,0,0,1
"Belgium",1961,4.85846484162487,7.69300321762221,1.82908131271635,3.17402766420553,37.8487784806018,6.58210405047813,7.96381159493369,0,0,0,0,0,0,0,1
"Belgium",1962,5.08072096054129,7.6549100982554,1.48902573843455,3.04797910177998,39.3429971680371,10.0449270387481,-5.00110339899786,0,0,0,0,0,0,0,1
"Belgium",1963,4.25956298029098,9.82833314401135,0.694917453484059,3.50774973817223,38.5762127580284,11.5031424513533,16.0187711774457,0,0,0,0,0,0,0,1
"Belgium",1964,6.72537509385478,3.93088262129156,0.471787379721803,1.46755667255816,25.7693236546811,18.4217178774655,-0.281234459926046,0,0,0,0,0,0,0,1
"Belgium",1965,3.49873404456345,2.96407488305584,0.242110162602412,1.06872834855275,21.7309683026728,19.0505815085533,-6.67754204693458,0,0,0,0,0,0,0,1
"Belgium",1966,3.10712015009855,2.50078070266393,0.769256289982106,1.09001290546765,22.4979806307314,16.9053330336995,-42.3113571987372,0,0,0,0,0,0,0,1
"Belgium",1967,3.7952090974084,6.15209845767537,1.09807280142094,2.41672428928043,26.3209771306962,19.434920642883,-29.8483467924184,0,0,0,0,0,0,0,1
"Belgium",1968,4.10856041716734,7.45593819767849,1.74578690588388,3.06724220239228,29.2750406859463,5.04485468564737,-13.2825289704676,0,0,0,0,0,0,0,1
"Belgium",1969,6.41928344757039,3.83023174831047,1.53557745711621,1.78860249099465,24.0006606076042,5.17395820229628,9.8544738416127,0,0,0,0,0,0,0,1
"Belgium",1970,5.44105556497261,1.02073710376476,0.647986830230774,0.556240772481386,20.9775236487906,-10.9297560346956,-3.28131390990318,0,0,0,0,0,0,0,1
"Belgium",1971,3.9084428434875,-0.341476733517069,-0.0606083751475914,-0.134028870759704,16.6778954146444,-6.06346233099657,-7.03094843221816,0,0,0,0,0,0,0,1
"Belgium",1972,5.16014887897889,0.859135314192507,0.077003146085282,0.312046156321207,17.85962831749,-6.82518613361882,12.6913067800082,0,0,0,0,0,0,0,1
"Belgium",1973,6.18634033636347,0.41714001083777,1.07942764824312,0.498855888962429,16.9498730763506,9.14013800392722,7.48478382674745,0,0,0,0,0,0,0,1
"Belgium",1974,4.46411695037776,-2.51563220642751,0.408699759063786,-0.702310815787911,8.41781520606648,10.3514385984722,-35.0410321396407,1,0,0,0,0,0,0,1
"Belgium",1975,-1.98552327956838,-0.949825385577093,0.606709178951604,-0.11437206887516,6.18461412711472,10.895445539218,-45.2937235450971,0,0,0,0,0,0,0,1
"Belgium",1976,5.49875478888762,-1.25463665014289,0.400109905307591,-0.284842248278435,5.3129337567321,16.0201982077796,-54.2200504056367,0,0,0,0,0,0,0,1
"Belgium",1977,0.624202595564061,2.2359432485151,2.89563608171692,1.71052644341068,15.8726570181288,27.8967420349337,-21.1700846452042,0,0,0,0,0,0,0,1
"Belgium",1978,2.80226382467825,1.72480865208384,4.72717106692724,2.15066058769932,21.3998313087376,26.0893984849553,-23.811961404799,0,0,0,0,0,0,0,1
"Belgium",1979,2.31409026123179,4.59619860065513,6.5319247880868,3.70937446291398,24.2165398745958,15.4641675836949,-6.75364526606142,0,0,0,0,0,0,0,1
"Belgium",1980,4.34813738453572,8.53165114950527,5.0537749288065,4.52847652936,26.4703216806496,-6.12858542409151,-24.6705495239257,1,0,0,0,0,0,0,1
"Belgium",1981,-0.279674324487544,11.5207128553986,2.27056654198571,4.5970935669646,19.3895812978121,-21.0351313172875,-33.890058354935,0,0,0,0,0,0,0,1
"Belgium",1982,0.593223881808402,8.40189667771747,-0.568538210276355,2.61112052033526,9.21584563682531,-32.4862825696816,-25.9294655482709,0,0,0,0,0,0,0,1
"Belgium",1983,0.311357510548493,1.666022,-1.970503,-0.10149366666667,-4.4753535210352,-30.2919718320543,27.1573284606685,0,0,0,0,0,0,0,1
"Belgium",1984,2.43645849293257,-4.337187,-2.89892,-2.41203566666667,-6.88781311832253,-22.2279247025314,45.0688823307876,0,0,0,0,0,0,0,1
"Belgium",1985,1.63829913056155,-6.03685,-2.712335,-2.916395,-6.80233552113948,-13.2880852482086,57.7748824138798,0,0,0,0,0,0,0,1
"Belgium",1986,1.80634895439393,-6.762507,-0.977938999999999,-2.58014866666666,-0.643643956913629,0.209753616494633,61.6999344102241,0,0,0,0,0,0,0,1
"Belgium",1987,2.2804581704988,-3.988884,2.083054,-0.63527666666667,6.37806756702935,7.46285092826638,34.1976196241433,0,0,0,0,0,0,0,1
"Belgium",1988,4.61505777853839,1.063913,3.981231,1.68171466666666,17.4837787010692,16.7054084663166,50.7292834283799,0,0,0,0,0,0,0,1
"Belgium",1989,3.41034773347335,6.963958,4.983931,3.98262966666666,26.0343943235874,23.6154403601702,30.0333484971556,0,0,0,0,0,0,0,1
"Belgium",1990,3.08919178727649,6.836892,4.208226,3.681706,24.6439641004803,22.4195365790985,12.8526436386517,0,0,0,0,0,0,0,1
"Belgium",1991,1.81647599695207,6.762726,3.494884,3.41920333333333,20.29767936153,16.6519258558035,-20.6470035899171,0,0,0,0,0,0,0,1
"Belgium",1992,1.51905847647109,10.138636,3.907226,4.681954,21.2302569168107,7.9867686392093,-34.0242620712999,0,0,0,0,0,0,0,1
"Belgium",1993,-0.966528967310776,13.826926,3.026859,5.61792833333334,21.5372559575145,9.76012148628342,23.2727915504413,0,0,0,0,0,0,0,1
"Belgium",1994,3.17599843378327,12.378,1.955814,4.777938,20.2492391339439,9.87281344972184,10.4494423503741,0,0,0,0,0,0,0,1
"Belgium",1995,2.35676604373012,1.246967,-1.169181,0.0259286666666677,8.7124096585324,10.6066777557632,25.0434373020033,0,0,0,0,0,0,0,1
"Belgium",1996,1.58084484571566,-0.29796300000001,0.191595999999997,-0.0354556666666734,7.76385052922381,5.32256796694971,17.691933325673,0,0,0,0,0,0,0,1
"Belgium",1997,3.64326469678131,4.873321,1.300471,2.05793066666667,13.3451346729361,4.92385813910905,54.1741660238968,0,0,0,0,0,0,0,1
"Belgium",1998,1.95601897347641,13.149158,4.68486,5.94467266666667,21.7345024970962,6.54718824322176,78.0470647388143,0,0,0,0,0,0,0,1
"Belgium",1999,3.50129455193189,22.936712,3.58352900000001,8.84008033333334,30.5166917704173,10.873006911414,50.2293194913112,0,0,0,0,0,0,0,1
